title,pc_genere,pc_release,pc_metascore,pc_n_reviews,pc_user_score,pc_n_user_score,pc_developer,pc_n_online_multiplayer,ps4_genere,ps4_release,ps4_metascore,ps4_n_reviews,ps4_user_score,ps4_n_user_score,ps4_developer,ps4_n_online_multiplayer,xboxone_genere,xboxone_release,xboxone_metascore,xboxone_n_reviews,xboxone_user_score,xboxone_n_user_score,xboxone_developer,xboxone_n_online_multiplayer
Assassin's Creed Odyssey,"Action Adventure, Open-World","Oct  2, 2018",8.6,14.0,5.8,1433.0,Ubisoft,No Online Multiplayer,"Action Adventure, Open-World","Oct  2, 2018",8.3,86.0,6.2,1978.0,Ubisoft,No Online Multiplayer,"Action Adventure, Open-World","Oct  2, 2018",8.7,34.0,5.9,586.0,Ubisoft,No Online Multiplayer
Attack on Titan 2: Final Battle,,,,,,,,,"Action, General","Jul  5, 2019",7.5,17.0,5.1,15.0,Omega Force,Up to 8 ,"Action, General","Jul  5, 2019",7.4,7.0,4.8,6.0,Omega Force,Up to 8 
Baldur's Gate 3,,,,,,,,,,,,,,,,,,,,,,,,
Borderlands 3,"Action, Shooter, First-Person, Arcade","Sep 13, 2019",8.1,53.0,5.2,2301.0,Gearbox Software,Up to 4 ,"Action, Shooter, First-Person, Arcade","Sep 13, 2019",7.8,43.0,5.6,991.0,Gearbox Software,Up to 4 ,"Action, Shooter, First-Person, Arcade","Sep 13, 2019",8.2,25.0,5.2,406.0,Gearbox Software,Up to 4 
Cyberpunk 2077,,,,,,,,,,,,,,,,,,,,,,,,
DOOM,"Sci-Fi, Action, Shooter, First-Person, Third-Person, Arcade","May 13, 2016",8.5,44.0,8.5,2786.0,id Software,Up to 12 ,"Sci-Fi, Third-Person, Action, Shooter, First-Person, Arcade","May 13, 2016",8.5,61.0,8.4,2063.0,id Software,Up to 12 ,"Sci-Fi, Action, Shooter, First-Person, Third-Person, Arcade","May 13, 2016",8.7,25.0,8.5,751.0,id Software,Up to 12 
DOOM Eternal,"Action, Shooter, First-Person, Arcade","Mar 20, 2020",8.9,50.0,7.6,1213.0,id Software,Up to 3 ,"Action, Shooter, First-Person, Arcade","Mar 20, 2020",8.7,44.0,8.0,735.0,id Software,Up to 3 ,"Action, Shooter, First-Person, Arcade","Mar 19, 2020",8.9,32.0,7.6,354.0,id Software,Up to 3 
DRAGON BALL XENOVERSE 2,,,,,,,,,"Action, Fighting, 3D","Oct 25, 2016",7.2,57.0,7.4,212.0,Dimps Corporation,Up to 6 ,"Action, Fighting, 3D","Oct 25, 2016",7.3,9.0,7.1,50.0,Dimps Corporation,Up to 6 
Darksiders Genesis,"Role-Playing, Action RPG","Dec  5, 2019",7.7,70.0,7.7,156.0,Airship Syndicate Entertainment,Online Multiplayer,"Role-Playing, Action RPG","Feb 14, 2020",7.8,25.0,7.3,47.0,Airship Syndicate Entertainment,2 ,"Role-Playing, Action RPG","Feb 14, 2020",7.7,13.0,5.2,18.0,Airship Syndicate Entertainment,Online Multiplayer
Destiny 2: The Collection,,,,,,,,,,,,,,,,,,,,,,,,
Destroy All Humans!,,,,,,,,,,,,,,,,,,,,,,,,
FINAL FANTASY XV,,,,,,,,,"Action RPG, Role-Playing, Action RPG","Nov 29, 2016",8.1,109.0,7.6,4200.0,Square Enix,Up to 4 ,"Action RPG, Role-Playing, Action RPG","Nov 29, 2016",8.3,13.0,7.7,676.0,Square Enix,Up to 4 
Farming Simulator 19,"Simulation, Virtual, Career","Nov 19, 2018",7.3,16.0,6.2,62.0,Giants Software,Online Multiplayer,"Simulation, Virtual, Career","Nov 20, 2018",6.4,12.0,5.6,32.0,Giants Software,Up to 6 ,,,,,,,,
Football Manager 2020,"Sports, Team, Soccer, Management","Nov 18, 2019",8.4,34.0,5.3,50.0,Sports Interactive,Online Multiplayer,,,,,,,,,,,,,,,,
GRID,"Racing, Simulation, Automobile","Oct  8, 2019",7.4,13.0,5.1,67.0,Codemasters,Online Multiplayer,"Racing, Simulation, Automobile","Oct 11, 2019",7.3,45.0,5.1,56.0,Codemasters,Up to 16 ,"Racing, Simulation, Automobile","Oct 11, 2019",7.9,14.0,4.6,22.0,Codemasters,Online Multiplayer
GYLT,,,,,,,,,,,,,,,,,,,,,,,,
Get Packed,,,,,,,,,,,,,,,,,,,,,,,,
Ghost Recon Breakpoint,,,,,,,,,,,,,,,,,,,,,,,,
Gods & Monsters,,,,,,,,,,,,,,,,,,,,,,,,
Just Dance 2020,,,,,,,,,,,,,,,,,,,,,,,,
Kine,,,,,,,,,,,,,,,,,,,,,,,,
Lost Words: Beyond the Page,,,,,,,,,,,,,,,,,,,,,,,,
Marvel's Avengers,,,,,,,,,,,,,,,,,,,,,,,,
Metro Exodus,"Action, Shooter, First-Person, Arcade","Feb 15, 2019",8.2,53.0,6.9,3547.0,4A Games,No Online Multiplayer,"Action, Shooter, First-Person, Arcade","Feb 15, 2019",8.0,41.0,6.9,1106.0,4A Games,No Online Multiplayer,"Action, Shooter, First-Person, Arcade","Feb 15, 2019",8.2,32.0,6.8,558.0,4A Games,No Online Multiplayer
Mortal Kombat 11,"Action, Fighting, 2D","Apr 23, 2019",8.2,12.0,2.8,587.0,NetherRealm Studios,Up to 8 ,"Action, Fighting, 2D","Apr 23, 2019",8.2,85.0,3.3,1886.0,NetherRealm Studios,Up to 8 ,"Action, Fighting, 2D","Apr 23, 2019",8.6,26.0,3.1,438.0,NetherRealm Studios,Up to 8 
NBA 2K20,,,,,,,,,"Sports, Team, Basketball, Sim","Sep  6, 2019",7.8,42.0,1.0,870.0,Visual Concepts,Up to 10 ,"Sports, Team, Basketball, Sim","Sep  6, 2019",8.0,18.0,1.1,254.0,Visual Concepts,Up to 10 
Orcs Must Die! 3,,,,,,,,,,,,,,,,,,,,,,,,
Rage 2,"Action, Shooter, First-Person, Arcade","May 13, 2019",7.3,55.0,5.4,683.0,"id Software, Avalanche Studios",No Online Multiplayer,"Action, Shooter, First-Person, Arcade","May 14, 2019",6.7,43.0,5.8,491.0,"id Software, Avalanche Studios",No Online Multiplayer,"Action, Shooter, First-Person, Arcade","May 14, 2019",7.2,21.0,6.0,177.0,"id Software, Avalanche Studios",No Online Multiplayer
Red Dead Redemption 2,"Action Adventure, Open-World","Nov  5, 2019",9.3,44.0,5.0,2876.0,Rockstar Games,Up to 32 ,"Action Adventure, Open-World","Oct 26, 2018",9.7,99.0,8.2,10114.0,Rockstar Games,Up to 32 ,"Action Adventure, Open-World","Oct 26, 2018",9.7,33.0,7.7,2397.0,Rockstar Games,Up to 32 
Rise of the Tomb Raider: 20 Year Celebration,,,,,,,,,"Action Adventure, Linear","Oct 11, 2016",8.8,55.0,8.1,1125.0,"Crystal Dynamics, Nixxes Software",2 ,,,,,,,,
SAMURAI SHODOWN,,,,,,,,,"Action, Fighting, 2D","Jun 25, 2019",8.1,53.0,7.7,64.0,SNK Corporation,Up to 10 ,"Action, Fighting, 2D","Jun 25, 2019",7.8,16.0,6.6,14.0,SNK Corporation,Up to 10 
SUPERHOT,"Modern, Action, Shooter, First-Person, Tactical","Feb 25, 2016",8.2,93.0,7.5,510.0,SUPERHOT,No Online Multiplayer,"Action, Shooter, First-Person, Tactical","Jul 21, 2017",8.3,14.0,7.3,47.0,SUPERHOT,Not available,"Modern, Action, Shooter, First-Person, Tactical","May  3, 2016",8.3,18.0,7.9,87.0,SUPERHOT,Not available
Serious Sam Collection,,,,,,,,,,,,,,,,,,,,,,,,
Shadow of the Tomb Raider: Definitive Edition,,,,,,,,,,,,,,,,,,,,,,,,
Spitlings,,,,,,,,,,,,,,,,,,,,,,,,
Stacks on Stacks (On Stacks),,,,,,,,,,,,,,,,,,,,,,,,
SteamWorld Dig,"Action, Action Adventure, Platformer, General, Platformer, 2D, 2D","Dec  5, 2013",7.6,12.0,7.3,119.0,Image & Form,No Online Multiplayer,"Action, Action Adventure, General, Platformer, 2D","Mar 18, 2014",8.2,18.0,7.3,188.0,Image & Form,Not available,"Action, Action Adventure, General, Platformer, 2D","Jun  5, 2015",8.3,8.0,7.8,17.0,Image & Form,Not available
SteamWorld Dig 2,"Action, Action Adventure, General, Platformer, 2D","Sep 22, 2017",8.5,14.0,8.3,52.0,Image & Form,No Online Multiplayer,,,,,,,,,,,,,,,,
SteamWorld Heist,"Strategy, Turn-Based, General","Jun  7, 2016",8.1,8.0,7.8,70.0,Image & Form,No Online Multiplayer,"Strategy, Turn-Based, General","Jun  7, 2016",8.3,9.0,7.3,44.0,Image & Form,Not available,,,,,,,,
SteamWorld Quest: Hand of Gilgamech,,,,,,,,,,,,,,,,,,,,,,,,
Supercross 3,,,,,,,,,,,,,,,,,,,,,,,,
The Crew 2,"Racing, Simulation, Automobile","Jun 28, 2018",6.6,21.0,4.5,181.0,Ubisoft Ivory Tower,Up to 8 ,"Racing, Simulation, Automobile","Jun 26, 2018",6.4,53.0,5.2,255.0,Ubisoft Ivory Tower,Up to 8 ,"Racing, Simulation, Automobile","Jun 26, 2018",6.9,37.0,5.0,73.0,Ubisoft Ivory Tower,Up to 8 
The Elder Scrolls Online,"First-Person, Role-Playing, First-Person, Massively Multiplayer Online, Massively Multiplayer, Fantasy","Apr  4, 2014",7.1,64.0,5.8,2524.0,ZeniMax Media,Massively Multiplayer,,,,,,,,,,,,,,,,
Thumper,"Action, Rhythm, Music","Nov 19, 2019",,0.0,,0.0,Drool,No Online Multiplayer,"Action, Rhythm, Music","Oct 10, 2016",8.4,40.0,7.3,93.0,"drool Games, Drool",Not available,"Action, Rhythm, Music","Aug 18, 2017",8.6,7.0,5.1,10.0,"drool Games, Drool",Not available
Tom Clancy's The Division 2,"First-Person, Action, Shooter, Third-Person, Tactical","Mar 15, 2019",8.4,34.0,4.9,1338.0,Massive Entertainment,Online Multiplayer,"First-Person, Action, Shooter, Third-Person, Tactical","Mar 12, 2019",8.2,56.0,6.4,1290.0,Massive Entertainment,Online Multiplayer,"First-Person, Action, Shooter, Third-Person, Tactical","Mar 12, 2019",8.2,30.0,6.1,351.0,Massive Entertainment,Online Multiplayer
Tomb Raider: Definitive Edition,,,,,,,,,"Modern, Action Adventure, General, Modern, Linear","Jan 28, 2014",8.5,54.0,8.1,1399.0,"Crystal Dynamics, Nixxes Software",Up to 8 ,"Modern, Action Adventure, General, Modern, Linear","Jan 28, 2014",8.6,18.0,7.7,539.0,"Crystal Dynamics, United Front Games",Up to 8 
Trials Rising,"Racing, Arcade, Automobile","Feb 26, 2019",8.3,13.0,4.8,51.0,RedLynx,Up to 8 ,"Racing, Arcade, Automobile","Feb 26, 2019",7.9,55.0,6.5,59.0,RedLynx,Up to 8 ,"Racing, Arcade, Automobile","Feb 26, 2019",8.5,15.0,5.2,45.0,RedLynx,Up to 8 
Watch Dogs Legion,,,,,,,,,,,,,,,,,,,,,,,,
Windjammers 2,,,,,,,,,,,,,,,,,,,,,,,,
Wolfenstein: Youngblood,"Action, Shooter, First-Person, Arcade","Jul 26, 2019",6.9,50.0,2.2,775.0,MachineGames,2 ,"Action, Shooter, First-Person, Arcade","Jul 26, 2019",6.3,36.0,2.6,316.0,MachineGames,2 ,"Action, Shooter, First-Person, Arcade","Jul 26, 2019",6.8,23.0,2.1,183.0,MachineGames,2 
